weapon,distance,direction,zcr,rms,spectral_centroid,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,dataset
r1895,0m,center,0.03941047054597701,0.032138277,1793.4952533326082,-341.1808,105.2657,14.486652,22.147856,-3.3544908,11.458712,-1.2386982,10.111079,1.9828317,5.760605,2.2942884,2.191618,1.0952803,gun_sound_train
ak,200m,left,0.14162962464080459,0.0477712,2185.8255208555984,-191.1884,109.73476,-61.123116,-5.3645678,-10.663794,19.918945,7.819407,1.3416069,-7.108865,-1.374831,-10.840905,-9.922219,-8.119748,gun_sound_train
slr,0m,center,0.07685659123563218,0.060098764,1978.1081445755233,-309.3626,75.063675,18.504477,16.369448,3.1022592,12.767691,3.4391153,7.2364902,1.9080642,5.8823476,2.8184187,6.1342444,2.4296305,gun_sound_train
ak,600m,front,0.11411188936781609,0.018259287,2198.223984399339,-250.16956,111.18859,-18.753595,21.873165,-14.308457,11.330414,-9.027051,11.849479,-7.4886055,9.498892,-8.59701,2.6843672,-10.583747,gun_sound_train
mk,0m,center,0.04842403017241379,0.062859416,1690.0780651616733,-277.87946,111.98006,-0.37946415,17.914663,1.9349581,8.105634,0.12631269,7.648211,0.6410136,2.8836792,-0.9987646,4.0426908,-0.25286713,gun_sound_train
dp,0m,center,0.09849250179597702,0.08945816,2471.5238926762713,-213.77083,84.283226,13.754002,16.452389,-2.196405,10.296147,-2.2363746,7.153497,-1.2397715,4.120749,-0.8683447,4.7845774,0.35063562,gun_sound_train
nogun,0m,center,0.009305405890804598,0.010971919,947.6941398258879,-481.8068,139.10596,8.810515,22.290419,5.0027847,16.592804,2.6935914,12.589901,1.5610169,9.171976,3.0280159,6.845374,1.0432241,gun_sound_train
m24,0m,center,0.08234554597701149,0.03929596,1793.1327955386191,-360.55368,89.933975,10.439336,12.043802,-3.4105864,2.8539443,-1.1261798,1.0325997,-1.3925146,0.59511864,-1.7229881,0.24523215,-2.0709662,gun_sound_train
m4,50m,left,0.12680158943965517,0.057606455,2421.2625627023726,-273.9857,54.576027,3.345425,14.431995,-3.3233101,13.698015,6.502861,8.318513,-2.2692895,0.9438063,-4.647665,1.3439828,-3.1995194,gun_sound_train
m4,0m,center,0.043844288793103446,0.031449787,1772.211199278017,-396.17184,87.21547,7.621125,12.032408,-1.5768936,13.750295,4.3400054,9.275508,3.1090863,7.620515,5.675929,5.554143,5.570009,gun_sound_train
verl,0m,center,0.08471399066091954,0.053645294,1834.7272538955738,-361.70273,87.65653,27.165693,8.764262,0.0670927,3.048725,-3.7866135,-2.7955637,-3.8851607,-2.2641604,-2.8821666,-2.2472756,-2.8471298,gun_sound_train
m24,100m,back,0.10517690373563218,0.014345006,2279.4979925361613,-259.6168,104.918846,-12.80439,16.911297,-12.392804,12.976066,-10.727268,16.005688,-12.231734,10.490278,-12.57448,3.578809,-14.1355715,gun_sound_train
m24,200m,back,0.05431707974137931,0.00065767195,1174.3386440264449,-623.40344,165.7305,-8.479201,19.80794,-11.215206,3.9918616,-8.72812,-3.520486,-8.511476,1.8833812,-3.9967532,3.3319898,-4.7198677,gun_sound_train
m24,50m,right,0.08855289152298851,0.014498522,1643.8430861498537,-440.04,69.84068,16.136232,12.0666895,-5.694141,4.25327,1.1741705,1.2533863,-0.33824787,1.190865,0.53630704,0.4221687,-2.2129693,gun_sound_train
pump,0m,center,0.0760876885775862,0.047808964,2275.2994595877885,-293.21005,75.27802,5.8177695,11.950293,-0.9460332,8.892766,2.292218,9.043819,3.6557176,6.984202,4.3485303,5.53494,3.2984257,gun_sound_train
mini,0m,center,0.11525682471264367,0.045534622,2291.292865293119,-349.4824,63.647507,17.299595,12.972901,-0.94923294,2.2911084,-3.188968,-1.166834,-4.749693,0.005284926,-1.2606474,-0.26463804,-0.44215876,gun_sound_train
m24,0m,center,0.13593862248563218,0.04009457,2675.6153660495984,-224.27266,88.14873,-1.1403589,15.538616,-5.7199807,9.960021,-7.366302,7.3219295,-2.961306,4.9485955,-2.5413938,2.490344,-2.3189628,gun_sound_train
p18c,0m,center,0.06060861170977012,0.064687334,1523.909165317307,-316.74417,91.38323,7.615517,7.635084,5.7248397,10.053842,5.9941673,5.383714,5.909851,8.886823,4.2112412,4.5168915,5.029816,gun_sound_train
deagle,0m,center,0.060995869252873564,0.089857124,1861.8451187863595,-273.03345,79.039185,20.283434,14.517539,3.1501935,10.27236,4.1527553,10.358087,5.0676017,9.107299,5.151187,7.210516,4.3213983,gun_sound_train
win,0m,center,0.10613662895114942,0.043364186,2531.7960138884887,-262.9337,88.182915,0.54221684,13.533269,-2.464379,8.710023,-0.2501771,6.2765975,-0.9309724,3.0865805,1.0140864,1.8879334,0.53266305,gun_sound_train
ak,200m,front,0.14027702945402298,0.028476244,2146.867619874166,-306.2177,90.4717,-27.177889,3.5703526,-13.522315,2.4131343,-3.727396,2.1341224,0.89709765,0.2283636,-3.1595972,-1.8387097,-5.3261833,gun_sound_train
gro,0m,center,0.07425803699712644,0.049447034,1717.902117463405,-341.80994,72.3952,18.780228,18.983086,7.6344147,11.415542,4.4943905,6.4850907,2.1065207,6.5277214,4.7594466,7.062874,5.109345,gun_sound_train
nogun,0m,center,0.01231366738505747,0.010845408,1202.5182317421063,-465.59375,119.59711,3.5707629,20.826998,1.153537,14.279101,-0.09074762,11.924926,1.0714543,9.510462,2.2706509,8.724821,2.1076574,gun_sound_train
